pi_Time1	pi_Time2	pi_Time3	pi_Present	pi_Anadyr	pi_Cook	pi_Bristol
0.3116901	0.3758974	0.3470527	0.3895178	0.3436626	0.3517302	0.3426272
0.401937	0.3323401	0.3574837	0.3475071	0.3047857	0.3306365	0.3747691
0.2870552	0.3304165	0.3274764	0.3421922	0.3370785	0.302382	0.3349154
0.2894115	0.3574869	0.3261154	0.3422138	0.350701	0.324043	0.3456286
0.3580981	0.3112771	0.3396992	0.3157939	0.3105788	0.3371495	0.3086673
0.3413411	0.3156043	0.3224122	0.2858398	0.3240064	0.2775435	0.3139435
0.3578543	0.3229126	0.347401	0.3106086	0.2771862	0.2547872	0.3507839
0.3355557	0.3294362	0.3243733	0.3590707	0.3390452	0.3375116	0.3127299
0.3325465	0.3205892	0.3311172	0.3214771	0.2850746	0.3032161	0.3347599
0.3244638	0.3465933	0.3318085	0.3162847	0.3309156	0.297169	0.3466233
0.357024	0.39804	0.3650263	0.3625262	0.3615349	0.3505777	0.3670556
0.3294528	0.3321663	0.3299527	0.3032157	0.3041242	0.28558	0.2951855
0.403627	0.3428005	0.3628357	0.3634614	0.345221	0.3542721	0.351004
0.3122844	0.3170967	0.3004275	0.3038641	0.3478339	0.2682353	0.3020689
0.3491174	0.3687028	0.354467	0.3329993	0.3198876	0.3098578	0.3402092
0.344175	0.3566307	0.3604122	0.3226103	0.3152592	0.3176245	0.3269161
0.394263	0.3429353	0.3152811	0.3754818	0.325936	0.3136531	0.3481311
0.3298191	0.3574267	0.3338526	0.3168943	0.3584327	0.2606641	0.3562196
0.2985061	0.3065403	0.3459649	0.3569017	0.323975	0.3471635	0.3670918
0.3452575	0.2757491	0.3386585	0.3288218	0.3025592	0.3167907	0.3328204
0.3209676	0.3099689	0.3300902	0.3485278	0.3572239	0.3536479	0.3123213
0.3522829	0.325827	0.2918107	0.3147913	0.2870614	0.2836563	0.3398027
0.3736555	0.3273077	0.3386725	0.3362277	0.3439285	0.2815775	0.3163421
0.3166704	0.3480809	0.3459092	0.3118441	0.3217037	0.341666	0.3132948
0.316695	0.385924	0.3511309	0.3122782	0.281707	0.3169479	0.3409433
0.370554	0.332715	0.3435526	0.3410862	0.3293973	0.320139	0.3715621
0.350993	0.3635275	0.351675	0.3422781	0.3248756	0.3203149	0.3239497
0.3462592	0.318704	0.317752	0.309775	0.3038991	0.3308914	0.3139106
0.3101535	0.3243774	0.3466144	0.3593401	0.3696817	0.3223893	0.330152
0.3260563	0.3310509	0.3318937	0.3200459	0.3243585	0.3031656	0.2973568
0.3826025	0.3608553	0.3293542	0.3392175	0.3467706	0.3156525	0.3687822
0.3239352	0.3122348	0.3123064	0.3723463	0.3236754	0.3042473	0.283947
0.38421	0.3149275	0.3338417	0.3399516	0.3212345	0.3090074	0.339378
0.3496094	0.3217945	0.3480965	0.3050951	0.3105785	0.2926073	0.3123291
0.3757459	0.3793818	0.3117364	0.35757	0.3348144	0.3742259	0.3446536
0.4087311	0.3271622	0.3340514	0.3647611	0.3652464	0.3098487	0.3605826
0.3126328	0.3209989	0.3152206	0.3078993	0.3319992	0.2578673	0.3493875
0.3683672	0.3355809	0.3298464	0.3138012	0.3248039	0.2929925	0.3333056
0.3158182	0.3427444	0.3406934	0.325768	0.2954642	0.2896529	0.3299623
0.3576163	0.3210021	0.35248	0.3353364	0.3177929	0.3456709	0.3201955
0.3349853	0.3614501	0.3293024	0.3507223	0.3513152	0.2891349	0.2740091
0.3305271	0.3230371	0.2805505	0.3369096	0.3097332	0.2899643	0.302077
0.298209	0.2979684	0.3221151	0.3308326	0.3316914	0.3566893	0.3211595
0.4028882	0.3236662	0.335102	0.3524098	0.3195708	0.3503111	0.3673779
0.3416832	0.3490313	0.3266624	0.3230834	0.321596	0.327663	0.3173829
0.3531759	0.3465744	0.32207	0.3354163	0.33068	0.2775078	0.3055594
0.3352785	0.2883248	0.3478604	0.343835	0.3215159	0.3056871	0.3287745
0.3113541	0.3551335	0.3631798	0.310615	0.3432132	0.3236423	0.3820458
0.3094866	0.3659701	0.3629388	0.3304688	0.3421043	0.3388471	0.3676222
0.3496539	0.3414403	0.3348614	0.338307	0.3507828	0.2869771	0.3239807
0.3423526	0.3581425	0.3302702	0.3298784	0.3041554	0.2340392	0.3351059
0.2795961	0.3063831	0.3119016	0.2987318	0.307908	0.2834817	0.3366266
0.3834047	0.34024	0.3283019	0.3307908	0.3105815	0.2763192	0.3038037
0.3037083	0.3349618	0.3386151	0.3080326	0.3041905	0.3146726	0.3370796
0.2817197	0.32123	0.3335995	0.3658198	0.3545128	0.3120664	0.350253
0.3050379	0.3589547	0.3454421	0.316073	0.2962226	0.247294	0.3234704
0.3202568	0.3189402	0.3543551	0.328446	0.3314758	0.2609712	0.3432468
0.365741	0.3384484	0.3375142	0.3551218	0.3229655	0.3077529	0.3392106
0.3502699	0.3649333	0.3595081	0.3357589	0.3525201	0.3118018	0.3483384
0.3791489	0.3593668	0.3351366	0.3529529	0.3105465	0.290079	0.3351767
0.3526968	0.3168943	0.3009534	0.3226406	0.2830237	0.3015878	0.3146581
0.3609108	0.3754186	0.3634247	0.3613961	0.334854	0.3248239	0.3677521
0.3461859	0.3413962	0.3211292	0.32737	0.3453488	0.3426837	0.3286841
0.3480877	0.343422	0.3294991	0.3339667	0.2988674	0.2792126	0.3301849
0.3166722	0.3315266	0.2968692	0.3211623	0.3053369	0.3000949	0.3290252
0.3812282	0.3590288	0.352124	0.3360716	0.3469692	0.2673967	0.3658469
0.3284788	0.3218636	0.3207544	0.3536491	0.2967336	0.2959597	0.3053657
0.3823483	0.3801004	0.3186947	0.3131803	0.3363852	0.3221006	0.3392433
0.3067099	0.3189215	0.3317433	0.3243327	0.3387279	0.307674	0.3187082
0.3321439	0.3486192	0.3314649	0.3313558	0.3084247	0.3239275	0.2693661
0.3385549	0.3469738	0.3522006	0.3311889	0.3266008	0.3309546	0.3319899
0.3546089	0.3154184	0.3579964	0.2921941	0.32076	0.3287279	0.3178617
0.3588115	0.3233543	0.3475985	0.3337582	0.3107329	0.2983268	0.2939029
0.317419	0.3101369	0.355063	0.3300469	0.3086376	0.2492074	0.3279055
0.3589145	0.3468896	0.3100029	0.3403508	0.309857	0.238226	0.30777
0.301956	0.2856755	0.3070893	0.319182	0.3406847	0.3102472	0.3219561
0.3485382	0.3203667	0.3551953	0.2828061	0.3305801	0.270405	0.3497493
0.3320284	0.3625553	0.3478202	0.3603074	0.3478319	0.3308774	0.3690737
0.2979192	0.3386995	0.3507043	0.3059451	0.3094938	0.2940812	0.3410946
0.3255069	0.3361565	0.3594272	0.3445246	0.3484965	0.3093872	0.3524861
0.3592578	0.3158624	0.3421267	0.3332568	0.3321902	0.3240438	0.3328927
0.3468157	0.3309428	0.3380948	0.3365612	0.3263838	0.3077788	0.3254928
0.3280123	0.3522929	0.3697411	0.3493042	0.3380935	0.3229812	0.3488813
0.3184945	0.3610353	0.3568864	0.3416309	0.3479697	0.3265227	0.3499288
0.3441124	0.3109399	0.3489187	0.3303527	0.3517755	0.3034849	0.3322358
0.3364241	0.33015	0.3405753	0.3279215	0.3402071	0.3243391	0.3458162
0.3412691	0.3313001	0.3358563	0.3269405	0.3402299	0.2916432	0.3379678
0.3507418	0.3585082	0.3642097	0.3359227	0.3335157	0.3509192	0.3352631
0.3858379	0.3350586	0.3444289	0.3552246	0.3244469	0.3206847	0.3171012
0.3770457	0.328046	0.3385327	0.3173754	0.3371193	0.3317342	0.378688
0.3493276	0.3278555	0.3496089	0.3217116	0.3459781	0.3102311	0.3057348
0.373951	0.3469245	0.3526608	0.3328161	0.2959955	0.3181813	0.3154406
0.3532823	0.345859	0.3644841	0.3222174	0.3445247	0.3157247	0.3533928
0.3313097	0.3475979	0.3462812	0.3616948	0.3450751	0.3071285	0.3186251
0.3198953	0.3570271	0.3426718	0.3563959	0.3476864	0.3346777	0.3200593
0.3062793	0.2886563	0.3424308	0.3231247	0.27853	0.3560734	0.3099938
0.3053635	0.3245696	0.3198262	0.3531734	0.3487398	0.3119907	0.355277
0.3268802	0.3582184	0.3407719	0.3062603	0.3248482	0.3251697	0.3441969
0.3573489	0.376515	0.3346552	0.3421041	0.3339136	0.338478	0.3344361
0.3474516	0.332088	0.3596437	0.3262952	0.3142431	0.3230486	0.3422625
0.3330761	0.3450592	0.3230844	0.3154613	0.3225885	0.3339666	0.2937869
0.3191608	0.3523514	0.3247164	0.3313079	0.3493711	0.3241619	0.3036766
0.3479009	0.3390367	0.3520886	0.3286583	0.32203	0.3354783	0.3263403
0.3005332	0.350979	0.3195089	0.3218524	0.3085703	0.3313384	0.320664
0.3562648	0.3470207	0.3167664	0.3246047	0.3432285	0.3259867	0.3089927
0.3564001	0.3382239	0.3628374	0.3375178	0.3176071	0.3036595	0.3190935
0.3170121	0.3309288	0.3577085	0.349053	0.3530076	0.3138515	0.3313799
0.3603891	0.3519686	0.3460487	0.3268438	0.3295547	0.3040925	0.337206
0.4233442	0.3333259	0.3161625	0.3256077	0.3355535	0.3199026	0.3251794
0.335963	0.3548793	0.354598	0.353975	0.3264261	0.2698065	0.3475528
0.2962787	0.3177876	0.3179869	0.314654	0.3238112	0.305199	0.3255488
0.3644142	0.3292215	0.3379726	0.3286868	0.3079834	0.3092736	0.3212947
0.3093692	0.3614944	0.3410137	0.3196107	0.3012978	0.3270081	0.345729
0.3710379	0.3433028	0.3444867	0.336644	0.2950307	0.301895	0.309657
0.3260159	0.2958266	0.3067083	0.3078056	0.3464071	0.3143419	0.342613
0.329247	0.377263	0.3434356	0.3778141	0.3399316	0.3279915	0.3428408
